County Name,% change 2020-2021,% change 2021-2022,Average change: 2020-2022
"Appling County, Georgia",0.021,0.004,0.0125
"Atkinson County, Georgia",0.002,-0.012,-0.005
"Bacon County, Georgia",0.008,0.013000000000000001,0.0105
"Baker County, Georgia",0.008,0.002,0.005
"Baldwin County, Georgia",0.017,0.016,0.0165
"Banks County, Georgia",0.065,0.06,0.0625
"Barrow County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Bartow County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Ben Hill County, Georgia",0.026000000000000002,0.016,0.021
"Berrien County, Georgia",0.047,0.023,0.035
"Bibb County, Georgia",0.019,-0.01,0.0045
"Bleckley County, Georgia",0.032,-0.004,0.014
"Brantley County, Georgia",0.05,0.023,0.036500000000000005
"Brooks County, Georgia",0.015,-0.002,0.0065
"Bryan County, Georgia",0.06,0.019,0.0395
"Bulloch County, Georgia",0.045,0.017,0.031
"Burke County, Georgia",0.019,-0.003,0.008
"Butts County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Calhoun County, Georgia",-0.002,-0.002,-0.002
"Camden County, Georgia",0.033,0.021,0.027000000000000003
"Candler County, Georgia",0.059000000000000004,0.02,0.0395
"Carroll County, Georgia",0.053,0.025,0.039
"Catoosa County, Georgia",0.021,0.016,0.018500000000000003
"Charlton County, Georgia",0.02,0.025,0.0225
"Chatham County, Georgia",0.06,0.019,0.0395
"Chattahoochee County, Georgia",0.009000000000000001,0.001,0.005000000000000001
"Chattooga County, Georgia",0.006,-0.019,-0.0065
"Cherokee County, Georgia",0.054000000000000006,0.025,0.03950000000000001
"Clarke County, Georgia",0.033,-0.005,0.014
"Clay County, Georgia",-0.001,-0.021,-0.011000000000000001
"Clayton County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Clinch County, Georgia",0.028999999999999998,0.002,0.0155
"Cobb County, Georgia",0.054000000000000006,0.025,0.03950000000000001
"Coffee County, Georgia",0.005,0.008,0.006500000000000001
"Colquitt County, Georgia",0.024,-0.005,0.0095
"Columbia County, Georgia",0.022000000000000002,-0.004,0.009000000000000001
"Cook County, Georgia",0.019,0.01,0.014499999999999999
"Coweta County, Georgia",0.053,0.026000000000000002,0.0395
"Crawford County, Georgia",0.018000000000000002,-0.009000000000000001,0.0045000000000000005
"Crisp County, Georgia",0.035,0.019,0.027000000000000003
"Dade County, Georgia",0.028999999999999998,0.015,0.022
"Dawson County, Georgia",0.055,0.024,0.0395
"Decatur County, Georgia",0.02,0.037000000000000005,0.028500000000000004
"DeKalb County, Georgia",0.053,0.026000000000000002,0.0395
"Dodge County, Georgia",0.024,-0.006999999999999999,0.0085
"Dooly County, Georgia",0.005,0.004,0.0045000000000000005
"Dougherty County, Georgia",0.013000000000000001,0.0,0.006500000000000001
"Douglas County, Georgia",0.053,0.026000000000000002,0.0395
"Early County, Georgia",-0.012,0.034,0.011000000000000001
"Echols County, Georgia",0.008,-0.002,0.003
"Effingham County, Georgia",0.059000000000000004,0.019,0.039
"Elbert County, Georgia",0.003,0.019,0.011
"Emanuel County, Georgia",0.027999999999999997,0.017,0.0225
"Evans County, Georgia",0.038,-0.009000000000000001,0.014499999999999999
"Fannin County, Georgia",0.07200000000000001,0.019,0.045500000000000006
"Fayette County, Georgia",0.053,0.026000000000000002,0.0395
"Floyd County, Georgia",0.032,0.013000000000000001,0.0225
"Forsyth County, Georgia",0.053,0.025,0.039
"Franklin County, Georgia",0.027999999999999997,0.006999999999999999,0.017499999999999998
"Fulton County, Georgia",0.053,0.026000000000000002,0.0395
"Gilmer County, Georgia",0.039,0.006999999999999999,0.023
"Glascock County, Georgia",0.01,0.002,0.006
"Glynn County, Georgia",0.048,0.026000000000000002,0.037000000000000005
"Gordon County, Georgia",0.043,0.01,0.0265
"Grady County, Georgia",0.045,-0.004,0.020499999999999997
"Greene County, Georgia",0.025,0.019,0.022
"Gwinnett County, Georgia",0.054000000000000006,0.025,0.03950000000000001
"Habersham County, Georgia",0.004,0.02,0.012
"Hall County, Georgia",0.04,0.027999999999999997,0.034
"Hancock County, Georgia",0.013000000000000001,0.015,0.014
"Haralson County, Georgia",0.054000000000000006,0.025,0.03950000000000001
"Harris County, Georgia",0.013000000000000001,0.001,0.007000000000000001
"Hart County, Georgia",0.039,0.051,0.045
"Heard County, Georgia",0.052000000000000005,0.025,0.038500000000000006
"Henry County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Houston County, Georgia",0.024,-0.001,0.0115
"Irwin County, Georgia",0.027999999999999997,0.001,0.014499999999999999
"Jackson County, Georgia",0.069,0.099,0.084
"Jasper County, Georgia",0.052000000000000005,0.025,0.038500000000000006
"Jeff Davis County, Georgia",0.004,0.011000000000000001,0.007500000000000001
"Jefferson County, Georgia",0.016,0.003,0.0095
"Jenkins County, Georgia",0.013999999999999999,0.047,0.0305
"Johnson County, Georgia",0.043,-0.023,0.009999999999999998
"Jones County, Georgia",0.019,-0.009000000000000001,0.004999999999999999
"Lamar County, Georgia",0.055,0.025,0.04
"Lanier County, Georgia",0.015,-0.004,0.0055
"Laurens County, Georgia",0.045,-0.024,0.010499999999999999
"Lee County, Georgia",0.013000000000000001,0.0,0.006500000000000001
"Liberty County, Georgia",0.040999999999999995,0.004,0.0225
"Lincoln County, Georgia",0.02,-0.003,0.0085
"Long County, Georgia",0.040999999999999995,0.005,0.022999999999999996
"Lowndes County, Georgia",0.012,-0.004,0.004
"Lumpkin County, Georgia",0.08199999999999999,0.06,0.071
"Macon County, Georgia",0.015,-0.008,0.0034999999999999996
"Madison County, Georgia",0.035,-0.005,0.015000000000000001
"Marion County, Georgia",0.013999999999999999,0.001,0.0075
"McDuffie County, Georgia",0.02,-0.003,0.0085
"McIntosh County, Georgia",0.044000000000000004,0.025,0.0345
"Meriwether County, Georgia",0.053,0.025,0.039
"Miller County, Georgia",0.019,0.028999999999999998,0.024
"Mitchell County, Georgia",0.003,0.015,0.009
"Monroe County, Georgia",0.021,-0.009000000000000001,0.006
"Montgomery County, Georgia",0.008,0.013000000000000001,0.0105
"Morgan County, Georgia",0.053,0.024,0.0385
"Murray County, Georgia",0.031000000000000003,0.003,0.017
"Muscogee County, Georgia",0.012,0.001,0.006500000000000001
"Newton County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Oconee County, Georgia",0.035,-0.005,0.015000000000000001
"Oglethorpe County, Georgia",0.032,-0.005,0.0135
"Paulding County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Peach County, Georgia",0.025,-0.001,0.012
"Pickens County, Georgia",0.053,0.026000000000000002,0.0395
"Pierce County, Georgia",0.026000000000000002,0.035,0.030500000000000003
"Pike County, Georgia",0.054000000000000006,0.025,0.03950000000000001
"Polk County, Georgia",0.031000000000000003,0.01,0.0205
"Pulaski County, Georgia",0.025,0.0,0.0125
"Putnam County, Georgia",0.068,0.018000000000000002,0.043000000000000003
"Quitman County, Georgia",-0.025,-0.044000000000000004,-0.0345
"Rabun County, Georgia",0.064,0.032,0.048
"Randolph County, Georgia",-0.036000000000000004,0.019,-0.008500000000000002
"Richmond County, Georgia",0.02,-0.004,0.008
"Rockdale County, Georgia",0.053,0.026000000000000002,0.0395
"Schley County, Georgia",-0.005,0.015,0.004999999999999999
"Screven County, Georgia",0.034,0.0,0.017
"Seminole County, Georgia",0.006,0.004,0.005
"Spalding County, Georgia",0.053,0.025,0.039
"Stephens County, Georgia",0.019,0.027999999999999997,0.0235
"Stewart County, Georgia",0.033,0.019,0.026000000000000002
"Sumter County, Georgia",-0.006999999999999999,0.015,0.004
"Talbot County, Georgia",0.031000000000000003,0.018000000000000002,0.0245
"Taliaferro County, Georgia",0.026000000000000002,0.018000000000000002,0.022000000000000002
"Tattnall County, Georgia",-0.006,-0.013999999999999999,-0.009999999999999998
"Taylor County, Georgia",0.057999999999999996,-0.084,-0.013000000000000005
"Telfair County, Georgia",0.008,-0.021,-0.006500000000000001
"Terrell County, Georgia",0.013999999999999999,-0.001,0.006499999999999999
"Thomas County, Georgia",0.044000000000000004,-0.017,0.013500000000000002
"Tift County, Georgia",0.042,0.004,0.023
"Toombs County, Georgia",0.01,0.013000000000000001,0.0115
"Towns County, Georgia",0.068,0.006,0.037000000000000005
"Treutlen County, Georgia",0.004,0.009000000000000001,0.006500000000000001
"Troup County, Georgia",0.016,-0.003,0.006500000000000001
"Turner County, Georgia",0.008,-0.005,0.0015
"Twiggs County, Georgia",0.015,-0.01,0.0024999999999999996
"Union County, Georgia",0.068,0.032,0.05
"Upson County, Georgia",0.044000000000000004,0.021,0.0325
"Walker County, Georgia",0.021,0.016,0.018500000000000003
"Walton County, Georgia",0.052000000000000005,0.026000000000000002,0.03900000000000001
"Ware County, Georgia",0.025,0.035,0.030000000000000002
"Warren County, Georgia",0.037000000000000005,0.011000000000000001,0.024000000000000004
"Washington County, Georgia",0.004,0.025,0.0145
"Wayne County, Georgia",0.043,0.019,0.031
"Webster County, Georgia",-0.012,0.0,-0.006
"Wheeler County, Georgia",0.026000000000000002,0.023,0.0245
"White County, Georgia",0.038,0.026000000000000002,0.032
"Whitfield County, Georgia",0.031000000000000003,0.003,0.017
"Wilcox County, Georgia",-0.003,-0.005,-0.004
"Wilkes County, Georgia",0.023,0.018000000000000002,0.0205
"Wilkinson County, Georgia",-0.03,0.075,0.0225
"Worth County, Georgia",0.012,0.0,0.006
