geoid,name,Severe Cost Burden: Less than or equal to 30% of HAMFI,Severe Cost Burden: Greater than 30% but less than or equal to 50% of HAMFI,Severe Cost Burden: Greater than 50% but less than or equal to 80% of HAMFI,Total with Severe Cost Burden,Total: Less than or equal to 30% of HAMFI,Total: Greater than 30% but less than or equal to 50% of HAMFI,Total: Greater than 50% but less than or equal to 80% of HAMFI,Total renters,Total: Propotion of Sever Cost Burden to Total Renters,GeoID2
05000US13001,"Appling County, Georgia",145,30,0,175,440,330,245,1015,0.1724137931034483,13001
05000US13003,"Atkinson County, Georgia",100,30,10,140,255,185,165,605,0.23140495867768596,13003
05000US13005,"Bacon County, Georgia",115,40,0,155,325,230,270,825,0.18787878787878787,13005
05000US13007,"Baker County, Georgia",85,0,0,85,190,35,130,355,0.23943661971830985,13007
05000US13009,"Baldwin County, Georgia",1315,510,30,1855,2130,1445,895,4470,0.41498881431767337,13009
05000US13011,"Banks County, Georgia",140,100,15,255,360,280,475,1115,0.22869955156950672,13011
05000US13013,"Barrow County, Georgia",920,180,25,1125,1700,1455,1460,4615,0.2437703141928494,13013
05000US13015,"Bartow County, Georgia",1790,305,0,2095,3270,2720,3335,9325,0.22466487935656837,13015
05000US13017,"Ben Hill County, Georgia",200,100,4,304,850,470,600,1920,0.15833333333333333,13017
05000US13019,"Berrien County, Georgia",325,135,0,460,765,500,455,1720,0.26744186046511625,13019
05000US13021,"Bibb County, Georgia",4610,1770,485,6865,8370,4570,5195,18135,0.37854976564653986,13021
05000US13023,"Bleckley County, Georgia",165,10,0,175,335,130,215,680,0.25735294117647056,13023
05000US13025,"Brantley County, Georgia",225,30,0,255,315,500,245,1060,0.24056603773584906,13025
05000US13027,"Brooks County, Georgia",285,20,0,305,510,220,395,1125,0.27111111111111114,13027
05000US13029,"Bryan County, Georgia",495,175,115,785,785,750,725,2260,0.3473451327433628,13029
05000US13031,"Bulloch County, Georgia",2360,985,175,3520,3095,2445,2750,8290,0.42460796139927626,13031
05000US13033,"Burke County, Georgia",390,4,0,394,890,335,495,1720,0.22906976744186047,13033
05000US13035,"Butts County, Georgia",210,265,30,505,465,550,570,1585,0.3186119873817035,13035
05000US13037,"Calhoun County, Georgia",85,15,0,100,195,100,150,445,0.2247191011235955,13037
05000US13039,"Camden County, Georgia",1090,290,95,1475,1390,1010,1690,4090,0.3606356968215159,13039
05000US13043,"Candler County, Georgia",355,15,10,380,680,330,365,1375,0.27636363636363637,13043
05000US13045,"Carroll County, Georgia",2520,305,0,2825,4530,2580,3020,10130,0.2788746298124383,13045
05000US13047,"Catoosa County, Georgia",730,235,10,975,1345,1050,1745,4140,0.23550724637681159,13047
05000US13049,"Charlton County, Georgia",125,85,0,210,325,245,140,710,0.29577464788732394,13049
05000US13051,"Chatham County, Georgia",6905,3770,695,11370,11065,8240,9875,29180,0.3896504455106237,13051
05000US13053,"Chattahoochee County, Georgia",150,115,75,340,280,210,445,935,0.36363636363636365,13053
05000US13055,"Chattooga County, Georgia",250,75,0,325,680,690,690,2060,0.15776699029126215,13055
05000US13057,"Cherokee County, Georgia",2690,1110,160,3960,4005,3330,4430,11765,0.33659158521036975,13057
05000US13059,"Clarke County, Georgia",7185,1545,240,8970,10245,5455,6350,22050,0.40680272108843535,13059
05000US13061,"Clay County, Georgia",20,4,0,24,115,85,70,270,0.08888888888888889,13061
05000US13063,"Clayton County, Georgia",9170,1980,160,11310,12645,10535,11855,35035,0.3228200371057514,13063
05000US13065,"Clinch County, Georgia",85,0,0,85,285,85,95,465,0.1827956989247312,13065
05000US13067,"Cobb County, Georgia",11845,5480,1250,18575,16420,16080,22420,54920,0.3382192279679534,13067
05000US13069,"Coffee County, Georgia",600,180,4,784,1370,930,1265,3565,0.21991584852734922,13069
05000US13071,"Colquitt County, Georgia",710,365,110,1185,1540,1205,1520,4265,0.27784290738569756,13071
05000US13073,"Columbia County, Georgia",665,520,155,1340,1050,1160,1625,3835,0.3494132985658409,13073
05000US13075,"Cook County, Georgia",210,55,90,355,520,315,460,1295,0.27413127413127414,13075
05000US13077,"Coweta County, Georgia",2240,425,0,2665,3405,2750,2750,8905,0.29927007299270075,13077
05000US13079,"Crawford County, Georgia",90,35,0,125,240,100,230,570,0.21929824561403508,13079
05000US13081,"Crisp County, Georgia",655,260,10,925,1470,965,555,2990,0.3093645484949833,13081
05000US13083,"Dade County, Georgia",160,35,10,205,270,290,520,1080,0.18981481481481483,13083
05000US13085,"Dawson County, Georgia",220,20,0,240,380,325,480,1185,0.20253164556962025,13085
05000US13087,"Decatur County, Georgia",460,275,0,735,1140,585,820,2545,0.2888015717092338,13087
05000US13089,"DeKalb County, Georgia",19790,7185,1700,28675,29040,23120,29050,81210,0.3530969092476296,13089
05000US13091,"Dodge County, Georgia",270,75,0,345,665,515,470,1650,0.20909090909090908,13091
05000US13093,"Dooly County, Georgia",205,4,0,209,405,400,340,1145,0.18253275109170305,13093
05000US13095,"Dougherty County, Georgia",3275,1375,190,4840,4915,3190,3745,11850,0.4084388185654008,13095
05000US13097,"Douglas County, Georgia",2450,895,30,3375,3570,3410,4330,11310,0.2984084880636605,13097
05000US13099,"Early County, Georgia",125,135,30,290,405,435,250,1090,0.26605504587155965,13099
05000US13101,"Echols County, Georgia",40,20,0,60,180,75,80,335,0.1791044776119403,13101
05000US13103,"Effingham County, Georgia",580,160,20,760,930,875,1165,2970,0.2558922558922559,13103
05000US13105,"Elbert County, Georgia",300,125,15,440,635,470,360,1465,0.3003412969283277,13105
05000US13107,"Emanuel County, Georgia",430,75,10,515,1020,385,705,2110,0.24407582938388625,13107
05000US13109,"Evans County, Georgia",220,85,0,305,340,250,255,845,0.3609467455621302,13109
05000US13111,"Fannin County, Georgia",125,55,0,180,445,325,375,1145,0.1572052401746725,13111
05000US13113,"Fayette County, Georgia",935,350,185,1470,1175,945,1495,3615,0.4066390041493776,13113
05000US13115,"Floyd County, Georgia",1655,755,125,2535,2980,2575,3150,8705,0.2912119471568064,13115
05000US13117,"Forsyth County, Georgia",1420,550,220,2190,2105,1575,2910,6590,0.3323216995447648,13117
05000US13119,"Franklin County, Georgia",405,110,4,519,895,490,610,1995,0.26015037593984963,13119
05000US13121,"Fulton County, Georgia",29705,11500,2750,43955,47590,30945,36720,115255,0.3813717409223027,13121
05000US13123,"Gilmer County, Georgia",150,195,4,349,550,715,690,1955,0.17851662404092072,13123
05000US13125,"Glascock County, Georgia",45,0,10,55,80,55,40,175,0.3142857142857143,13125
05000US13127,"Glynn County, Georgia",1530,900,120,2550,2825,2395,2410,7630,0.33420707732634336,13127
05000US13129,"Gordon County, Georgia",700,375,60,1135,1350,1545,1945,4840,0.23450413223140495,13129
05000US13131,"Grady County, Georgia",430,270,45,745,835,805,660,2300,0.3239130434782609,13131
05000US13133,"Greene County, Georgia",290,90,15,395,500,330,340,1170,0.33760683760683763,13133
05000US13135,"Gwinnett County, Georgia",13520,8320,780,22620,17350,19350,24730,61430,0.3682239947908188,13135
05000US13137,"Habersham County, Georgia",400,120,30,550,680,555,605,1840,0.29891304347826086,13137
05000US13139,"Hall County, Georgia",2800,825,80,3705,4225,3435,4710,12370,0.29951495553759094,13139
05000US13141,"Hancock County, Georgia",120,75,0,195,340,195,195,730,0.2671232876712329,13141
05000US13143,"Haralson County, Georgia",600,165,0,765,915,660,640,2215,0.345372460496614,13143
05000US13145,"Harris County, Georgia",120,55,25,200,245,260,320,825,0.24242424242424243,13145
05000US13147,"Hart County, Georgia",290,225,40,555,605,585,555,1745,0.31805157593123207,13147
05000US13149,"Heard County, Georgia",145,4,0,149,500,210,245,955,0.15602094240837697,13149
05000US13151,"Henry County, Georgia",2850,1485,215,4550,3905,4335,4725,12965,0.35094485152333205,13151
05000US13153,"Houston County, Georgia",3345,860,40,4245,4940,3535,4730,13205,0.321469140477092,13153
05000US13155,"Irwin County, Georgia",50,35,0,85,235,215,190,640,0.1328125,13155
05000US13157,"Jackson County, Georgia",650,125,30,805,1270,1025,1090,3385,0.2378138847858198,13157
05000US13159,"Jasper County, Georgia",155,25,0,180,430,305,235,970,0.18556701030927836,13159
05000US13161,"Jeff Davis County, Georgia",255,55,0,310,465,265,630,1360,0.22794117647058823,13161
05000US13163,"Jefferson County, Georgia",400,35,30,465,795,305,555,1655,0.2809667673716012,13163
05000US13165,"Jenkins County, Georgia",295,10,0,305,460,145,220,825,0.3696969696969697,13165
05000US13167,"Johnson County, Georgia",135,20,10,165,375,225,155,755,0.2185430463576159,13167
05000US13169,"Jones County, Georgia",400,185,0,585,545,410,390,1345,0.4349442379182156,13169
05000US13171,"Lamar County, Georgia",265,200,0,465,590,525,415,1530,0.30392156862745096,13171
05000US13173,"Lanier County, Georgia",320,70,30,420,445,195,300,940,0.44680851063829785,13173
05000US13175,"Laurens County, Georgia",845,190,10,1045,1795,1140,1260,4195,0.24910607866507747,13175
05000US13177,"Lee County, Georgia",250,220,30,500,360,395,490,1245,0.40160642570281124,13177
05000US13179,"Liberty County, Georgia",1200,820,535,2555,1875,1395,3175,6445,0.3964313421256788,13179
05000US13181,"Lincoln County, Georgia",105,60,0,165,270,210,150,630,0.2619047619047619,13181
05000US13183,"Long County, Georgia",160,95,4,259,330,395,365,1090,0.23761467889908258,13183
05000US13185,"Lowndes County, Georgia",2740,1025,195,3960,5360,3120,3985,12465,0.3176895306859206,13185
05000US13187,"Lumpkin County, Georgia",550,155,35,740,805,795,670,2270,0.32599118942731276,13187
05000US13189,"McDuffie County, Georgia",555,190,10,755,1085,685,490,2260,0.334070796460177,13189
05000US13191,"McIntosh County, Georgia",165,35,25,225,335,220,275,830,0.2710843373493976,13191
05000US13193,"Macon County, Georgia",225,105,4,334,470,370,305,1145,0.29170305676855895,13193
05000US13195,"Madison County, Georgia",370,25,0,395,615,580,585,1780,0.22191011235955055,13195
05000US13197,"Marion County, Georgia",95,4,0,99,240,205,90,535,0.18504672897196262,13197
05000US13199,"Meriwether County, Georgia",410,95,4,509,755,620,595,1970,0.2583756345177665,13199
05000US13201,"Miller County, Georgia",65,30,0,95,255,145,105,505,0.18811881188118812,13201
05000US13205,"Mitchell County, Georgia",465,70,35,570,685,645,605,1935,0.29457364341085274,13205
05000US13207,"Monroe County, Georgia",200,40,0,240,515,435,570,1520,0.15789473684210525,13207
05000US13209,"Montgomery County, Georgia",145,20,4,169,270,190,190,650,0.26,13209
05000US13211,"Morgan County, Georgia",220,25,0,245,385,265,250,900,0.2722222222222222,13211
05000US13213,"Murray County, Georgia",345,195,0,540,595,860,1225,2680,0.20149253731343283,13213
05000US13215,"Muscogee County, Georgia",5970,2515,445,8930,8545,5840,6995,21380,0.4176800748362956,13215
05000US13217,"Newton County, Georgia",2720,630,180,3530,3670,2730,2720,9120,0.38706140350877194,13217
05000US13219,"Oconee County, Georgia",195,45,20,260,250,315,730,1295,0.20077220077220076,13219
05000US13221,"Oglethorpe County, Georgia",215,30,0,245,400,320,225,945,0.25925925925925924,13221
05000US13223,"Paulding County, Georgia",1725,570,180,2475,2355,1960,3825,8140,0.30405405405405406,13223
05000US13225,"Peach County, Georgia",500,180,25,705,920,800,875,2595,0.27167630057803466,13225
05000US13227,"Pickens County, Georgia",430,20,10,460,755,685,440,1880,0.24468085106382978,13227
05000US13229,"Pierce County, Georgia",125,60,0,185,275,575,300,1150,0.1608695652173913,13229
05000US13231,"Pike County, Georgia",90,15,0,105,225,175,260,660,0.1590909090909091,13231
05000US13233,"Polk County, Georgia",830,505,20,1355,1170,1115,1225,3510,0.38603988603988604,13233
05000US13235,"Pulaski County, Georgia",310,100,0,410,385,280,190,855,0.47953216374269003,13235
05000US13237,"Putnam County, Georgia",425,10,90,525,650,215,530,1395,0.3763440860215054,13237
05000US13239,"Quitman County, Georgia",60,20,0,80,85,65,10,160,0.5,13239
05000US13241,"Rabun County, Georgia",345,100,25,470,485,315,335,1135,0.41409691629955947,13241
05000US13243,"Randolph County, Georgia",95,60,0,155,220,295,280,795,0.1949685534591195,13243
05000US13245,"Richmond County, Georgia",6460,2385,360,9205,9775,6630,6325,22730,0.4049714034315882,13245
05000US13247,"Rockdale County, Georgia",1475,655,45,2175,2285,1930,2740,6955,0.31272465851905107,13247
05000US13249,"Schley County, Georgia",110,4,15,129,205,50,125,380,0.3394736842105263,13249
05000US13251,"Screven County, Georgia",145,45,0,190,330,285,315,930,0.20430107526881722,13251
05000US13253,"Seminole County, Georgia",230,10,0,240,355,185,265,805,0.2981366459627329,13253
05000US13255,"Spalding County, Georgia",1815,75,0,1890,3080,2010,2070,7160,0.2639664804469274,13255
05000US13257,"Stephens County, Georgia",310,125,15,450,605,635,885,2125,0.21176470588235294,13257
05000US13259,"Stewart County, Georgia",95,20,0,115,210,70,105,385,0.2987012987012987,13259
05000US13261,"Sumter County, Georgia",775,200,40,1015,1355,905,1160,3420,0.29678362573099415,13261
05000US13263,"Talbot County, Georgia",45,15,0,60,175,130,155,460,0.13043478260869565,13263
05000US13265,"Taliaferro County, Georgia",35,0,0,35,50,30,45,125,0.28,13265
05000US13267,"Tattnall County, Georgia",170,10,30,210,460,515,700,1675,0.1253731343283582,13267
05000US13269,"Taylor County, Georgia",205,25,4,234,420,205,120,745,0.31409395973154364,13269
05000US13271,"Telfair County, Georgia",145,90,45,280,515,345,330,1190,0.23529411764705882,13271
05000US13273,"Terrell County, Georgia",210,85,0,295,480,315,270,1065,0.27699530516431925,13273
05000US13275,"Thomas County, Georgia",805,665,110,1580,1385,1665,1500,4550,0.34725274725274724,13275
05000US13277,"Tift County, Georgia",890,205,45,1140,1420,1125,940,3485,0.32711621233859395,13277
05000US13279,"Toombs County, Georgia",775,65,4,844,1220,685,745,2650,0.31849056603773584,13279
05000US13281,"Towns County, Georgia",105,40,10,155,150,135,355,640,0.2421875,13281
05000US13283,"Treutlen County, Georgia",135,10,0,145,225,130,140,495,0.29292929292929293,13283
05000US13285,"Troup County, Georgia",2015,725,125,2865,3235,1960,1760,6955,0.4119338605319914,13285
05000US13287,"Turner County, Georgia",160,55,0,215,430,140,165,735,0.2925170068027211,13287
05000US13289,"Twiggs County, Georgia",4,0,10,14,195,80,135,410,0.03414634146341464,13289
05000US13291,"Union County, Georgia",220,185,55,460,655,460,405,1520,0.3026315789473684,13291
05000US13293,"Upson County, Georgia",510,180,0,690,985,650,640,2275,0.3032967032967033,13293
05000US13295,"Walker County, Georgia",1165,190,0,1355,1895,1360,1845,5100,0.2656862745098039,13295
05000US13297,"Walton County, Georgia",1835,235,60,2130,2690,1805,1675,6170,0.34521880064829824,13297
05000US13299,"Ware County, Georgia",825,275,65,1165,1460,970,1315,3745,0.31108144192256343,13299
05000US13301,"Warren County, Georgia",145,30,0,175,335,110,95,540,0.32407407407407407,13301
05000US13303,"Washington County, Georgia",285,130,0,415,625,545,590,1760,0.23579545454545456,13303
05000US13305,"Wayne County, Georgia",320,100,0,420,730,755,740,2225,0.18876404494382024,13305
05000US13307,"Webster County, Georgia",4,0,0,4,75,50,30,155,0.025806451612903226,13307
05000US13309,"Wheeler County, Georgia",105,0,0,105,285,135,110,530,0.19811320754716982,13309
05000US13311,"White County, Georgia",430,85,0,515,525,425,765,1715,0.30029154518950435,13311
05000US13313,"Whitfield County, Georgia",1145,560,70,1775,1865,2615,3050,7530,0.2357237715803453,13313
05000US13315,"Wilcox County, Georgia",70,4,0,74,215,105,125,445,0.1662921348314607,13315
05000US13317,"Wilkes County, Georgia",140,65,0,205,270,315,315,900,0.22777777777777777,13317
05000US13319,"Wilkinson County, Georgia",100,25,0,125,255,170,145,570,0.21929824561403508,13319
05000US13321,"Worth County, Georgia",440,55,50,545,590,635,405,1630,0.3343558282208589,13321
