County Name,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?
"Appling County, Georgia",0.0009953609332095503,Yes
"Atkinson County, Georgia",0.00017986186897109955,No
"Bacon County, Georgia",-0.0019286709663522547,Yes
"Baker County, Georgia",-0.02790369594211643,No
"Baldwin County, Georgia",-0.010421394781511106,No
"Banks County, Georgia",-0.007810541570830637,No
"Barrow County, Georgia",0.02230070811320831,Yes
"Bartow County, Georgia",0.013483093974935719,Yes
"Ben Hill County, Georgia",0.0016990673385019577,No
"Berrien County, Georgia",-0.014381608040218272,No
"Bibb County, Georgia",0.00701857700327778,Yes
"Bleckley County, Georgia",-0.005502515580972248,No
"Brantley County, Georgia",-0.008519720285160367,Yes
"Brooks County, Georgia",0.01355511385297896,No
"Bryan County, Georgia",0.0653746516581158,Yes
"Bulloch County, Georgia",0.021183742735306318,Yes
"Burke County, Georgia",0.02483088099404977,Yes
"Butts County, Georgia",0.016569002737078998,Yes
"Calhoun County, Georgia",-0.040105367937003554,No
"Camden County, Georgia",0.009662737805186646,Yes
"Candler County, Georgia",0.0017855844901409953,No
"Carroll County, Georgia",0.0068135729097903615,Yes
"Catoosa County, Georgia",0.006394681687072825,Yes
"Charlton County, Georgia",-0.01449713435006523,No
"Chatham County, Georgia",0.008957640155805914,Yes
"Chattahoochee County, Georgia",-0.03908064334559032,No
"Chattooga County, Georgia",0.0010876512007620357,No
"Cherokee County, Georgia",0.027160798556399773,Yes
"Clarke County, Georgia",0.009524487542726917,Yes
"Clay County, Georgia",-0.013271713274255048,No
"Clayton County, Georgia",0.01840954779349224,Yes
"Clinch County, Georgia",-0.0002497478591877561,No
"Cobb County, Georgia",0.007743845163508745,Yes
"Coffee County, Georgia",0.0006749325984567435,Yes
"Colquitt County, Georgia",0.0014228760095170538,Yes
"Columbia County, Georgia",0.015610083374429956,Yes
"Cook County, Georgia",7.898598432764271e-05,Yes
"Coweta County, Georgia",0.010427881520651683,Yes
"Crawford County, Georgia",-0.005016400089805421,No
"Crisp County, Georgia",-0.034330058645874,No
"Dade County, Georgia",0.0017733310039616138,No
"Dawson County, Georgia",0.03169463126346289,Yes
"Decatur County, Georgia",0.027431509624272498,Yes
"DeKalb County, Georgia",0.006882315471306973,Yes
"Dodge County, Georgia",-0.013327640949945619,No
"Dooly County, Georgia",-0.05779379016168892,No
"Dougherty County, Georgia",-0.015701236057530894,No
"Douglas County, Georgia",0.003986393254018596,Yes
"Early County, Georgia",0.01521201562908478,No
"Echols County, Georgia",-0.025565700848331263,No
"Effingham County, Georgia",0.026342050148109187,Yes
"Elbert County, Georgia",0.004193890225993272,No
"Emanuel County, Georgia",0.0035522327919177456,Yes
"Evans County, Georgia",0.0010693397433955368,No
"Fannin County, Georgia",0.0038222344157741728,Yes
"Fayette County, Georgia",0.019055621128581165,Yes
"Floyd County, Georgia",0.00474915784397725,Yes
"Forsyth County, Georgia",0.03777994782870822,Yes
"Franklin County, Georgia",0.010867276617836081,Yes
"Fulton County, Georgia",0.010469057622007978,Yes
"Gilmer County, Georgia",0.012406170147939974,Yes
"Glascock County, Georgia",-0.011823494929528111,No
"Glynn County, Georgia",0.0016019433603162287,Yes
"Gordon County, Georgia",0.00286477371451543,Yes
"Grady County, Georgia",0.015546242819661195,Yes
"Greene County, Georgia",0.028365988397528463,Yes
"Gwinnett County, Georgia",0.016799166535327415,Yes
"Habersham County, Georgia",0.011005284537564455,Yes
"Hall County, Georgia",0.009690708038401795,Yes
"Hancock County, Georgia",0.00459248781133811,No
"Haralson County, Georgia",0.008331855811195424,Yes
"Harris County, Georgia",0.007230845629236603,Yes
"Hart County, Georgia",0.0023173051349002533,Yes
"Heard County, Georgia",-0.006682215463435615,No
"Henry County, Georgia",0.02255477631712885,Yes
"Houston County, Georgia",0.020517344337355914,Yes
"Irwin County, Georgia",0.012367924296908772,No
"Jackson County, Georgia",0.03942669067717081,Yes
"Jasper County, Georgia",0.01654519064001306,Yes
"Jeff Davis County, Georgia",-0.005260912759364615,No
"Jefferson County, Georgia",-0.001294924297327655,No
"Jenkins County, Georgia",-0.0050772669133490374,Yes
"Johnson County, Georgia",-0.01570711597100907,No
"Jones County, Georgia",-0.0029214700376528576,No
"Lamar County, Georgia",-0.000474983990713565,Yes
"Lanier County, Georgia",-0.01548915657109247,Yes
"Laurens County, Georgia",0.012544678784488806,Yes
"Lee County, Georgia",0.03590461201680894,Yes
"Liberty County, Georgia",0.012006446173101877,Yes
"Lincoln County, Georgia",-0.004682034016856333,No
"Long County, Georgia",-0.029636863129735343,Yes
"Lowndes County, Georgia",0.0082380436921943,Yes
"Lumpkin County, Georgia",0.012757179719303265,Yes
"Macon County, Georgia",-0.02904837312139794,No
"Madison County, Georgia",0.01147277090636537,Yes
"Marion County, Georgia",-0.03632162456350151,No
"McDuffie County, Georgia",0.003571127639263753,No
"McIntosh County, Georgia",-0.06631728650458975,No
"Meriwether County, Georgia",-0.007178321158550053,No
"Miller County, Georgia",0.008710114783461266,No
"Mitchell County, Georgia",-0.007364578122731787,No
"Monroe County, Georgia",0.009963224611382849,Yes
"Montgomery County, Georgia",-0.012309563581329149,No
"Morgan County, Georgia",0.0260834815314894,Yes
"Murray County, Georgia",0.002488843702664695,Yes
"Muscogee County, Georgia",0.013138423210095068,Yes
"Newton County, Georgia",0.014698156247637859,Yes
"Oconee County, Georgia",0.03473449527488579,Yes
"Oglethorpe County, Georgia",-3.676459316552643e-05,Yes
"Paulding County, Georgia",0.020678608421796474,Yes
"Peach County, Georgia",0.010475033096796966,Yes
"Pickens County, Georgia",0.020989430680528973,Yes
"Pierce County, Georgia",0.008294650250029454,Yes
"Pike County, Georgia",0.012238712522458473,Yes
"Polk County, Georgia",0.008505925045325506,Yes
"Pulaski County, Georgia",-0.038538070387534026,No
"Putnam County, Georgia",0.00567050859007207,Yes
"Quitman County, Georgia",-0.003918427696854203,No
"Rabun County, Georgia",0.005562680037732858,Yes
"Randolph County, Georgia",-0.028056658353616554,No
"Richmond County, Georgia",0.007107445057743893,Yes
"Rockdale County, Georgia",0.014727273690753653,Yes
"Schley County, Georgia",-0.03764687943108655,No
"Screven County, Georgia",0.0009065184001679234,No
"Seminole County, Georgia",0.027390524451469025,Yes
"Spalding County, Georgia",0.01021216451755532,Yes
"Stephens County, Georgia",0.012429736637642847,Yes
"Stewart County, Georgia",-0.034879355061248236,No
"Sumter County, Georgia",-0.007312732383438954,No
"Talbot County, Georgia",-0.02876421688889089,No
"Taliaferro County, Georgia",-0.018509293516644296,No
"Tattnall County, Georgia",-0.028118455288999537,No
"Taylor County, Georgia",-0.013756583591064001,No
"Telfair County, Georgia",-0.06830301336474454,No
"Terrell County, Georgia",0.00949894474553717,No
"Thomas County, Georgia",0.0070309086638265525,Yes
"Tift County, Georgia",0.005240374833271319,Yes
"Toombs County, Georgia",-0.001134239260324141,No
"Towns County, Georgia",0.02520374576632642,Yes
"Treutlen County, Georgia",-0.018022887917333127,No
"Troup County, Georgia",-0.00137855715231506,Yes
"Turner County, Georgia",0.037633283905532076,No
"Twiggs County, Georgia",-0.010139053206778157,No
"Union County, Georgia",0.02024080990221339,Yes
"Upson County, Georgia",0.015298920941804628,Yes
"Walker County, Georgia",-0.005035400107920641,No
"Walton County, Georgia",0.019309910289131423,Yes
"Ware County, Georgia",0.004528600820315185,No
"Warren County, Georgia",-0.008045254118852332,No
"Washington County, Georgia",-0.006696170420867221,No
"Wayne County, Georgia",0.0039177663797343165,Yes
"Webster County, Georgia",-0.031022737696352814,No
"Wheeler County, Georgia",-0.015652382353186396,Yes
"White County, Georgia",-0.011284969853655596,Yes
"Whitfield County, Georgia",-0.0024709896234919766,Yes
"Wilcox County, Georgia",-0.0001120505870706931,No
"Wilkes County, Georgia",-0.008180174719247762,No
"Wilkinson County, Georgia",-0.005423321106760875,No
"Worth County, Georgia",0.0028097259979976644,No
