County Name,2011 Population,2018 Population,2019 Population,2020 Population,2021 Population,% YoY growth: 2018-2019,% YoY growth: 2019-2020,% YoY growth: 2020-2021,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?
"Appling County, Georgia",18202,18454,18440,18428,18509,-0.0007586431126043134,-0.0006507592190889371,0.0043954851313219015,0.0009953609332095503,Yes
"Atkinson County, Georgia",8375,8265,8239,8311,8269,-0.003145795523290986,0.008738924626775094,-0.005053543496570809,0.00017986186897109955,No
"Bacon County, Georgia",11075,11228,11201,11140,11163,-0.002404702529390809,-0.005445942326577984,0.0020646319569120287,-0.0019286709663522547,Yes
"Baker County, Georgia",3494,3189,3132,3090,2928,-0.017873941674506115,-0.013409961685823755,-0.05242718446601942,-0.02790369594211643,No
"Baldwin County, Georgia",46345,45286,45111,45072,43876,-0.0038643289316786645,-0.0008645341490988894,-0.026535321263755768,-0.010421394781511106,No
"Banks County, Georgia",18074,18510,18708,18900,18061,0.010696920583468396,0.010262989095574085,-0.04439153439153439,-0.007810541570830637,No
"Barrow County, Georgia",68061,76887,78991,81294,82138,0.027364834107196274,0.029155220214961197,0.010382070017467463,0.02230070811320831,Yes
"Bartow County, Georgia",98905,103620,104919,106456,107868,0.012536189924724956,0.014649396200878774,0.013263695799203426,0.013483093974935719,Yes
"Ben Hill County, Georgia",17658,17154,17033,16889,17237,-0.0070537483968753645,-0.008454177185463513,0.02060512759784475,0.0016990673385019577,No
"Berrien County, Georgia",18977,19025,19152,19206,18195,0.006675427069645204,0.002819548872180451,-0.05263980006248047,-0.014381608040218272,No
"Bibb County, Georgia",155186,153490,153200,153026,156711,-0.0018893739005798424,-0.0011357702349869452,0.024080875145400128,0.00701857700327778,Yes
"Bleckley County, Georgia",13095,12775,12807,12870,12562,0.0025048923679060666,0.004919184820801124,-0.023931623931623933,-0.005502515580972248,No
"Brantley County, Georgia",17937,18561,18756,18924,18072,0.010505899466623565,0.008957133717210493,-0.04502219403931516,-0.008519720285160367,Yes
"Brooks County, Georgia",16256,15622,15590,15548,16254,-0.0020483932915119703,-0.0026940346375881976,0.04540776948803705,0.01355511385297896,No
"Bryan County, Georgia",29847,35885,37063,38321,43278,0.03282708652640379,0.03394220651323422,0.12935466193470943,0.0653746516581158,Yes
"Bulloch County, Georgia",69008,74782,76120,77719,79635,0.01789200609772405,0.02100630583289543,0.024652916275299475,0.021183742735306318,Yes
"Burke County, Georgia",23211,22550,22520,22567,24231,-0.0013303769401330377,0.002087033747779751,0.0737359861745026,0.02483088099404977,Yes
"Butts County, Georgia",23568,23750,24090,24463,24950,0.01431578947368421,0.015483603154836031,0.019907615582716757,0.016569002737078998,Yes
"Calhoun County, Georgia",6568,6428,6365,6301,5668,-0.009800871188550093,-0.010054988216810683,-0.10046024440564989,-0.040105367937003554,No
"Camden County, Georgia",49957,52714,53231,53960,54256,0.009807641233827826,0.01369502733369653,0.005485544848035582,0.009662737805186646,Yes
"Candler County, Georgia",10891,10827,10812,10834,10885,-0.0013854253255749516,0.0020347761746207916,0.004707402621377146,0.0017855844901409953,No
"Carroll County, Georgia",110292,116022,117183,118692,118402,0.01000672286290531,0.012877294488108343,-0.0024432986216425708,0.0068135729097903615,Yes
"Catoosa County, Georgia",63643,66299,66700,67181,67579,0.0060483566871295195,0.0072113943028485755,0.005924294071240381,0.006394681687072825,Yes
"Charlton County, Georgia",12714,12983,13040,13032,12416,0.00439035662019564,-0.0006134969325153375,-0.047268262737875995,-0.01449713435006523,No
"Chatham County, Georgia",261322,287049,288496,289649,294815,0.005040951196485618,0.003996589207476014,0.017835380063456113,0.008957640155805914,Yes
"Chattahoochee County, Georgia",11686,10767,10560,10470,9533,-0.019225410977988296,-0.008522727272727272,-0.08949379178605539,-0.03908064334559032,No
"Chattooga County, Georgia",26001,24817,24812,24826,24898,-0.00020147479550308256,0.0005642431081734644,0.0029001852896157255,0.0010876512007620357,No
"Cherokee County, Georgia",211316,241910,247515,253780,262155,0.023169773882848993,0.02531159727693271,0.03300102450941761,0.027160798556399773,Yes
"Clarke County, Georgia",116131,124602,126176,126952,128195,0.012632220991637374,0.006150139487699721,0.009791102148843657,0.009524487542726917,Yes
"Clay County, Georgia",3194,3001,2951,2931,2883,-0.016661112962345886,-0.006777363605557438,-0.016376663254861822,-0.013271713274255048,No
"Clayton County, Georgia",260756,278666,283538,287560,294335,0.017483295414582333,0.014185047506859751,0.023560300459034636,0.01840954779349224,Yes
"Clinch County, Georgia",6830,6743,6686,6648,6737,-0.008453210737060655,-0.005683517798384685,0.01338748495788207,-0.0002497478591877561,No
"Cobb County, Georgia",684468,745057,751218,756653,762500,0.008269165983273763,0.007234917161196883,0.00772745234605559,0.007743845163508745,Yes
"Coffee County, Georgia",42143,42961,43021,43070,43048,0.0013966155350201345,0.0011389786383394157,-0.0005107963779893197,0.0006749325984567435,Yes
"Colquitt County, Georgia",45079,45606,45486,45510,45800,-0.002631232732535193,0.0005276348766653475,0.0063722258844210065,0.0014228760095170538,Yes
"Columbia County, Georgia",121335,147295,150705,154257,154274,0.023150819783427815,0.02356922464417239,0.00011020569568966077,0.015610083374429956,Yes
"Cook County, Georgia",17081,17184,17177,17217,17188,-0.0004073556797020484,0.0023286953484310414,-0.0016843817157460648,7.898598432764271e-05,Yes
"Coweta County, Georgia",124695,140516,143260,145839,144928,0.019528025278260128,0.018002233700963283,-0.006246614417268357,0.010427881520651683,Yes
"Crawford County, Georgia",12751,12344,12325,12267,12159,-0.0015392093324692157,-0.004705882352941176,-0.00880410858400587,-0.005016400089805421,No
"Crisp County, Georgia",23379,22846,22713,22509,20524,-0.005821588024161779,-0.008981640470215295,-0.08818694744324493,-0.034330058645874,No
"Dade County, Georgia",16628,16227,16197,16183,16313,-0.0018487705675725643,-0.0008643575970858801,0.008033121176543286,0.0017733310039616138,No
"Dawson County, Georgia",22121,23861,24536,25277,26202,0.028288839528938434,0.03020052168242582,0.03659453257902441,0.03169463126346289,Yes
"Decatur County, Georgia",27890,26833,26682,26595,29020,-0.005627399098125443,-0.003260625140544187,0.09118255311148712,0.027431509624272498,Yes
"DeKalb County, Georgia",690003,743187,749323,755287,758634,0.008256333870210323,0.007959184490533455,0.004431428053177137,0.006882315471306973,Yes
"Dodge County, Georgia",21597,20919,20829,20725,20089,-0.004302308905779435,-0.0049930385520188195,-0.0306875753920386,-0.013327640949945619,No
"Dooly County, Georgia",14454,13905,13736,13571,11546,-0.012153901474289824,-0.012012230634828189,-0.14921523837594872,-0.05779379016168892,No
"Dougherty County, Georgia",94616,91049,89703,88696,86825,-0.014783248580434711,-0.01122593447264863,-0.021094525119509336,-0.015701236057530894,No
"Douglas County, Georgia",130473,141840,143316,145063,143520,0.010406091370558375,0.012189846213960758,-0.010636757822463344,0.003986393254018596,Yes
"Early County, Georgia",11110,10348,10312,10218,10813,-0.003478933127174333,-0.009115593483320403,0.05823057349774907,0.01521201562908478,No
"Echols County, Georgia",4016,3994,3981,3944,3691,-0.003254882323485228,-0.009294147199196181,-0.06414807302231237,-0.025565700848331263,No
"Effingham County, Georgia",51476,58689,60477,62241,63448,0.03046567499872208,0.029168113497693337,0.01939236194791215,0.026342050148109187,Yes
"Elbert County, Georgia",20274,19212,19166,19164,19453,-0.002394336872787841,-0.00010435145570280705,0.015080359006470466,0.004193890225993272,No
"Emanuel County, Georgia",22439,22499,22533,22525,22739,0.0015111782745899818,-0.00035503483779345847,0.009500554938956714,0.0035522327919177456,Yes
"Evans County, Georgia",11002,10727,10687,10671,10761,-0.003728908362077002,-0.0014971460653129972,0.00843407365757661,0.0010693397433955368,No
"Fannin County, Georgia",23529,24925,25395,25797,25198,0.018856569709127382,0.0158298877731837,-0.023219754234988565,0.0038222344157741728,Yes
"Fayette County, Georgia",106094,111369,112303,113544,117828,0.008386534852607099,0.011050461697372288,0.03772986683576411,0.019055621128581165,Yes
"Floyd County, Georgia",95978,96824,97369,97805,98210,0.005628769726514087,0.004477811213014409,0.004140892592403252,0.00474915784397725,Yes
"Forsyth County, Georgia",170815,219880,228383,236605,245754,0.03867109332363107,0.03600092826523866,0.03866782189725492,0.03777994782870822,Yes
"Franklin County, Georgia",22102,22514,22766,23015,23256,0.011193035444612242,0.010937362733901432,0.010471431674994569,0.010867276617836081,Yes
"Fulton County, Georgia",907811,1021902,1036200,1051550,1054286,0.013991556920330913,0.01481374252074889,0.00260187342494413,0.010469057622007978,Yes
"Gilmer County, Georgia",28208,29922,30414,30986,31047,0.016442751152997793,0.01880712829617939,0.0019686309946427417,0.012406170147939974,Yes
"Glascock County, Georgia",3046,3009,2996,2984,2903,-0.004320372216683284,-0.004005340453938585,-0.027144772117962467,-0.011823494929528111,No
"Glynn County, Georgia",78736,83974,84470,85008,84373,0.005906590135041799,0.006369125133183379,-0.007469885187276492,0.0016019433603162287,Yes
"Gordon County, Georgia",54747,56790,57202,57756,57274,0.0072547983799964785,0.009684976049788468,-0.008345453286238659,0.00286477371451543,Yes
"Grady County, Georgia",24916,24926,24828,24693,26076,-0.003931637647436412,-0.005437409376510391,0.056007775482930386,0.015546242819661195,Yes
"Greene County, Georgia",15933,16976,17349,17808,18461,0.021972196041470313,0.02645685630295694,0.03666891284815813,0.028365988397528463,Yes
"Gwinnett County, Georgia",794872,902298,915046,926414,948505,0.014128370006361534,0.012423419150512652,0.023845710449108066,0.016799166535327415,Yes
"Habersham County, Georgia",42744,44289,44626,45204,45767,0.007609112872270767,0.012952090709451889,0.01245465003097071,0.011005284537564455,Yes
"Hall County, Georgia",178286,195961,198667,201434,201703,0.013808870132322248,0.013927828980152717,0.0013354250027304228,0.009690708038401795,Yes
"Hancock County, Georgia",9615,8535,8515,8500,8652,-0.0023432923257176333,-0.0017615971814445098,0.01788235294117647,0.00459248781133811,No
"Haralson County, Georgia",28681,28956,29227,29608,29685,0.009359027489984805,0.013035891470215897,0.0026006484733855713,0.008331855811195424,Yes
"Harris County, Georgia",31401,33590,34105,34676,34316,0.015331944030961596,0.016742413135903828,-0.010381820279155612,0.007230845629236603,Yes
"Hart County, Georgia",25130,25631,25773,25981,25808,0.00554016620498615,0.00807046133550615,-0.00665871213579154,0.0023173051349002533,Yes
"Heard County, Georgia",11758,11677,11736,11785,11440,0.005052667637235591,0.004175187457396047,-0.02927450148493848,-0.006682215463435615,No
"Henry County, Georgia",199115,221307,225356,229994,236615,0.018295851464255535,0.020580769981717817,0.028787707505413186,0.02255477631712885,Yes
"Houston County, Georgia",137887,151682,153507,155317,161177,0.012031750636199417,0.011790993244607738,0.037729289131260585,0.020517344337355914,Yes
"Irwin County, Georgia",9625,9268,9320,9379,9615,0.0056107034958998705,0.006330472103004292,0.025162597291822155,0.012367924296908772,No
"Jackson County, Georgia",59798,65755,67885,70467,73839,0.03239297391833321,0.03803491198350151,0.047852186129677725,0.03942669067717081,Yes
"Jasper County, Georgia",13800,13784,13916,14074,14478,0.009576320371445153,0.011353837309571716,0.02870541423902231,0.01654519064001306,Yes
"Jeff Davis County, Georgia",14783,14991,15036,15063,14753,0.003001801080648389,0.0017956903431763766,-0.02058022970191861,-0.005260912759364615,No
"Jefferson County, Georgia",16877,15772,15618,15489,15708,-0.009764138980471722,-0.008259700345754899,0.014139066434243657,-0.001294924297327655,No
"Jenkins County, Georgia",8322,8827,8793,8787,8693,-0.0038518182848079757,-0.000682360968952576,-0.01069762148628656,-0.0050772669133490374,Yes
"Johnson County, Georgia",10034,9730,9691,9717,9272,-0.004008221993833504,0.0026829016613352597,-0.04579602758052897,-0.01570711597100907,No
"Jones County, Georgia",28488,28548,28579,28622,28297,0.0010858904301527252,0.0015046012806606249,-0.011354901823771925,-0.0029214700376528576,No
"Lamar County, Georgia",18035,18513,18672,18834,18482,0.008588559390698428,0.008676092544987147,-0.01868960390782627,-0.000474983990713565,Yes
"Lanier County, Georgia",9779,10366,10380,10534,9874,0.0013505691684352692,0.014836223506743738,-0.06265426238845642,-0.01548915657109247,Yes
"Laurens County, Georgia",48163,47418,47405,47404,49202,-0.0002741574929351723,-2.1094821221390147e-05,0.03792928866762298,0.012544678784488806,Yes
"Lee County, Georgia",28251,29348,29502,29735,32547,0.005247376311844078,0.007897769642736086,0.09456869009584665,0.03590461201680894,Yes
"Liberty County, Georgia",64320,62108,61349,62039,64334,-0.012220647903651703,0.011247127092536146,0.036992859330421186,0.012006446173101877,Yes
"Lincoln County, Georgia",8045,7799,7856,7929,7686,0.007308629311450186,0.009292260692464359,-0.03064699205448354,-0.004682034016856333,No
"Long County, Georgia",13738,18156,18692,19236,16398,0.02952192112800176,0.029103359726086027,-0.14753587024329382,-0.029636863129735343,Yes
"Lowndes County, Georgia",107172,114582,115364,116436,117437,0.00682480668865965,0.009292326895738705,0.008596997492184547,0.0082380436921943,Yes
"Lumpkin County, Georgia",29419,31951,32402,33009,33188,0.014115364151356766,0.018733411517807542,0.0054227634887454934,0.012757179719303265,Yes
"Macon County, Georgia",14560,13480,13305,13107,12330,-0.01298219584569733,-0.014881623449830891,-0.059281300068665596,-0.02904837312139794,No
"Madison County, Georgia",27915,28900,29218,29624,29906,0.011003460207612456,0.013895543842836608,0.009519308668647043,0.01147277090636537,Yes
"Marion County, Georgia",8536,8484,8432,8450,7563,-0.006129184347006129,0.0021347248576850096,-0.10497041420118343,-0.03632162456350151,No
"McDuffie County, Georgia",21739,21498,21455,21404,21727,-0.00200018606381989,-0.0023770682824516428,0.015090637264062791,0.003571127639263753,No
"McIntosh County, Georgia",14065,14120,14174,14217,11291,0.003824362606232295,0.0030337237194863836,-0.20580994583948795,-0.06631728650458975,No
"Meriwether County, Georgia",22213,21113,21106,21080,20659,-0.0003315492824326244,-0.0012318771913200038,-0.019971537001897532,-0.007178321158550053,No
"Miller County, Georgia",6140,5836,5787,5725,5984,-0.008396161754626456,-0.010713668567478832,0.045240174672489086,0.008710114783461266,No
"Mitchell County, Georgia",23677,22432,22244,22072,21940,-0.008380884450784594,-0.007732422226218306,-0.005980427691192461,-0.007364578122731787,No
"Monroe County, Georgia",26203,27010,27171,27455,27825,0.005960755275823769,0.010452320488756394,0.013476598069568385,0.009963224611382849,Yes
"Montgomery County, Georgia",9121,9036,9058,9069,8701,0.002434705621956618,0.0012143961139324355,-0.0405777924798765,-0.012309563581329149,No
"Morgan County, Georgia",17876,18235,18507,18832,19694,0.014916369618864821,0.01756092289404009,0.045773152081563295,0.0260834815314894,Yes
"Murray County, Georgia",39800,39557,39724,39789,39853,0.00422175594711429,0.0016362904037861242,0.001608484757093669,0.002488843702664695,Yes
"Muscogee County, Georgia",188548,196670,195739,195418,204366,-0.004733818070880155,-0.0016399388982267203,0.045789026599392074,0.013138423210095068,Yes
"Newton County, Georgia",98864,106497,108079,109835,111262,0.014854878541179563,0.016247374605612562,0.012992215596121456,0.014698156247637859,Yes
"Oconee County, Georgia",32246,37017,38132,39194,41006,0.030121295620930924,0.027850624147697473,0.04623156605602898,0.03473449527488579,Yes
"Oglethorpe County, Georgia",14686,14784,14931,15040,14779,0.009943181818181818,0.007300247806576921,-0.017353723404255318,-3.676459316552643e-05,Yes
"Paulding County, Georgia",139067,155840,159825,164440,165688,0.025571098562628337,0.02887533239480682,0.007589394307954269,0.020678608421796474,Yes
"Peach County, Georgia",27349,26966,27145,27502,27822,0.0066379885782095974,0.013151593295266164,0.011635517416915134,0.010475033096796966,Yes
"Pickens County, Georgia",29406,30832,31387,32002,32814,0.01800077841203944,0.019594099467932585,0.0253734141616149,0.020989430680528973,Yes
"Pierce County, Georgia",18457,19164,19250,19336,19644,0.004487580880818201,0.004467532467532467,0.015928837401737693,0.008294650250029454,Yes
"Pike County, Georgia",17646,18082,18327,18565,18754,0.013549386129852892,0.012986304359687893,0.010180447077834635,0.012238712522458473,Yes
"Polk County, Georgia",41233,41621,41908,42251,42692,0.006895557531054035,0.008184594826763387,0.010437622778159097,0.008505925045325506,Yes
"Pulaski County, Georgia",11732,11295,11216,11185,10001,-0.0069942452412571935,-0.0027639087018544936,-0.10585605721949039,-0.038538070387534026,No
"Putnam County, Georgia",21128,21503,21691,21906,21870,0.008742966097753801,0.00991194504633258,-0.0016433853738701725,0.00567050859007207,Yes
"Quitman County, Georgia",2489,2276,2289,2290,2249,0.0057117750439367315,0.00043687199650502403,-0.017903930131004366,-0.003918427696854203,No
"Rabun County, Georgia",16302,16457,16645,16859,16731,0.011423710275262806,0.0128567137278462,-0.007592383889910434,0.005562680037732858,Yes
"Randolph County, Georgia",7678,7087,6973,6888,6503,-0.0160857908847185,-0.012189875233041733,-0.05589430894308943,-0.028056658353616554,No
"Richmond County, Georgia",199100,201463,201852,202178,205772,0.0019308756446593171,0.001615044686205735,0.01777641484236663,0.007107445057743893,Yes
"Rockdale County, Georgia",84303,89011,89717,90155,92983,0.007931603959061239,0.004882017900732303,0.03136819921246742,0.014727273690753653,Yes
"Schley County, Georgia",4885,5211,5221,5215,4622,0.0019190174630589138,-0.0011492051331162612,-0.1137104506232023,-0.03764687943108655,No
"Screven County, Georgia",14697,13990,13989,13977,14028,-7.14796283059328e-05,-0.0008578168561012224,0.003648851684910925,0.0009065184001679234,No
"Seminole County, Georgia",8784,8437,8321,8218,9108,-0.013748962901505275,-0.01237831991347194,0.10829885616938428,0.027390524451469025,Yes
"Spalding County, Georgia",63713,64719,65306,66043,66722,0.009069979449620668,0.011285333660000613,0.010281180443044683,0.01021216451755532,Yes
"Stephens County, Georgia",25964,25676,25750,25934,26641,0.0028820688580775823,0.007145631067961165,0.0272615099868898,0.012429736637642847,Yes
"Stewart County, Georgia",5887,6042,6293,6446,5347,0.04154253558424363,0.024312728428412523,-0.17049332919640087,-0.034879355061248236,No
"Sumter County, Georgia",32825,30352,30064,29714,29690,-0.009488666315234581,-0.011641830761043108,-0.0008077000740391734,-0.007312732383438954,No
"Talbot County, Georgia",6879,6378,6321,6245,5837,-0.008936970837253057,-0.012023414016769499,-0.06533226581265011,-0.02876421688889089,No
"Taliaferro County, Georgia",1791,1665,1611,1596,1574,-0.032432432432432434,-0.00931098696461825,-0.013784461152882205,-0.018509293516644296,No
"Tattnall County, Georgia",24720,25353,25382,25392,23211,0.0011438488541789926,0.0003939799858167205,-0.08589319470699433,-0.028118455288999537,No
"Taylor County, Georgia",8794,8193,8116,8126,7857,-0.009398266813133162,0.0012321340561853129,-0.03310361801624415,-0.013756583591064001,No
"Telfair County, Georgia",16177,16115,16035,15871,12860,-0.004964318957493019,-0.010227627065793577,-0.189717094070947,-0.06830301336474454,No
"Terrell County, Georgia",9530,8859,8737,8654,9102,-0.013771306016480415,-0.009499828316355728,0.05176796856944765,0.00949894474553717,No
"Thomas County, Georgia",44609,44730,44630,44545,45669,-0.0022356360384529397,-0.0019045485099708716,0.02523291053990347,0.0070309086638265525,Yes
"Tift County, Georgia",40204,40510,40541,40590,41148,0.0007652431498395458,0.0012086529685996891,0.013747228381374724,0.005240374833271319,Yes
"Toombs County, Georgia",27269,27048,26972,26947,26956,-0.0028098195800059155,-0.0009268871422215631,0.0003339889412550562,-0.001134239260324141,No
"Towns County, Georgia",10502,11417,11617,11815,12300,0.017517736708417272,0.017043987260049926,0.04104951333051206,0.02520374576632642,Yes
"Treutlen County, Georgia",6846,6777,6795,6787,6410,0.0026560424966799467,-0.001177336276674025,-0.0555473699720053,-0.018022887917333127,No
"Troup County, Georgia",66422,69774,69919,70095,69483,0.0020781379883624274,0.0025171984725181995,-0.008731007917825807,-0.00137855715231506,Yes
"Turner County, Georgia",8973,7962,7943,7920,8856,-0.0023863350916855063,-0.002895631373536447,0.11818181818181818,0.037633283905532076,No
"Twiggs County, Georgia",9200,8284,8229,8195,8034,-0.006639304683727668,-0.004131729250212663,-0.019646125686394143,-0.010139053206778157,No
"Union County, Georgia",21217,22775,23288,23999,24183,0.02252469813391877,0.030530745448299552,0.007666986124421851,0.02024080990221339,Yes
"Upson County, Georgia",27235,26216,26236,26329,27424,0.0007628928898382667,0.0035447476749504497,0.041589122260625166,0.015298920941804628,Yes
"Walker County, Georgia",68370,68824,69039,69398,67772,0.0031239102638614437,0.0051999594432132566,-0.023430070030836622,-0.005035400107920641,No
"Walton County, Georgia",83003,90132,91442,93284,95453,0.014534238672169707,0.02014391636228429,0.02325157583294027,0.019309910289131423,Yes
"Ware County, Georgia",36181,35599,35593,35745,36084,-0.00016854406022641084,0.004270502626921024,0.009483843894250945,0.004528600820315185,No
"Warren County, Georgia",5873,5346,5297,5259,5218,-0.00916573138795361,-0.007173872003020577,-0.007796158965582811,-0.008045254118852332,No
"Washington County, Georgia",21175,20461,20436,20316,20052,-0.0012218366648746395,-0.005871990604815032,-0.01299468399291199,-0.006696170420867221,No
"Wayne County, Georgia",29988,29767,29788,29959,30118,0.000705479221957201,0.005740566671142742,0.005307253246103007,0.0039177663797343165,Yes
"Webster County, Georgia",2760,2613,2610,2587,2372,-0.001148105625717566,-0.008812260536398468,-0.08310784692694241,-0.031022737696352814,No
"Wheeler County, Georgia",7354,7939,7928,7897,7568,-0.0013855649326111601,-0.003910191725529768,-0.04166139040141826,-0.015652382353186396,Yes
"White County, Georgia",26840,28928,29489,29962,27886,0.019392975663716814,0.01603987927701855,-0.06928776450170215,-0.011284969853655596,Yes
"Whitfield County, Georgia",101234,103849,104237,104122,103076,0.0037361938969080106,-0.0011032550821685199,-0.01004590768521542,-0.0024709896234919766,Yes
"Wilcox County, Georgia",9131,8846,8824,8701,8841,-0.0024869997739091114,-0.013939256572982775,0.016090104585679808,-0.0001120505870706931,No
"Wilkes County, Georgia",10485,9884,9844,9797,9643,-0.004046944556859571,-0.004774481917919545,-0.015719097682964173,-0.008180174719247762,No
"Wilkinson County, Georgia",9617,9078,9010,8945,8931,-0.00749063670411985,-0.007214206437291898,-0.0015651201788708777,-0.005423321106760875,No
"Worth County, Georgia",21741,20656,20494,20346,20824,-0.00784275755228505,-0.0072216258417097685,0.02349356138798781,0.0028097259979976644,No
